id,region1,region2,region3,locality,postcode,latitude,longitude,elevation,iso2,fips,nuts,hasc,stat,timezone,utc,dst
1005289026,Burgenland,Güssing,Eberau,Winten,7521,47.12049,16.435604,274,AT-1,AU01,AT113,AT.BU.GS,39,Europe/Vienna,+01:00,+02:00
1005289057,Burgenland,Güssing,Gerersdorf-Sulz,Gerersdorf bei Güssing,7542,47.069935,16.254498,243,AT-1,AU01,AT113,AT.BU.GS,40,Europe/Vienna,+01:00,+02:00
1005289053,Burgenland,Güssing,Gerersdorf-Sulz,Rehgraben,7540,47.084171,16.24291,271,AT-1,AU01,AT113,AT.BU.GS,41,Europe/Vienna,+01:00,+02:00
1005289054,Burgenland,Güssing,Gerersdorf-Sulz,Sulz im Burgenland,7540,47.092018,16.254808,329,AT-1,AU01,AT113,AT.BU.GS,42,Europe/Vienna,+01:00,+02:00
1005289059,Burgenland,Güssing,Gerersdorf-Sulz,Sulz im Burgenland,7542,47.074445,16.269238,228,AT-1,AU01,AT113,AT.BU.GS,42,Europe/Vienna,+01:00,+02:00
1005289047,Burgenland,Güssing,Großmürbisch,Großmürbisch,7540,47.014253,16.365119,283,AT-1,AU01,AT113,AT.BU.GS,60,Europe/Vienna,+01:00,+02:00
1005289046,Burgenland,Güssing,Güssing,Glasing,7540,47.03487,16.352735,278,AT-1,AU01,AT113,AT.BU.GS,43,Europe/Vienna,+01:00,+02:00
1005289048,Burgenland,Güssing,Güssing,Güssing,7540,47.059403,16.325518,220,AT-1,AU01,AT113,AT.BU.GS,44,Europe/Vienna,+01:00,+02:00
1005275967,Burgenland,Güssing,Güssing,Krottendorf,7540,47.071273,16.313506,217,AT-1,AU01,AT113,AT.BU.GS,45,Europe/Vienna,+01:00,+02:00
1005276174,Burgenland,Güssing,Güssing,Sankt Nikolaus,7540,47.046027,16.332704,242,AT-1,AU01,AT113,AT.BU.GS,46,Europe/Vienna,+01:00,+02:00
1012286783,Burgenland,Güssing,Güssing,Steingraben,7540,47.0651,16.284057,241,AT-1,AU01,AT113,AT.BU.GS,10405,Europe/Vienna,+01:00,+02:00
1005289058,Burgenland,Güssing,Güssing,Steingraben,7542,47.063259,16.276156,243,AT-1,AU01,AT113,AT.BU.GS,47,Europe/Vienna,+01:00,+02:00
1005289056,Burgenland,Güssing,Güssing,Urbersdorf,7540,47.055789,16.373429,211,AT-1,AU01,AT113,AT.BU.GS,48,Europe/Vienna,+01:00,+02:00
1005289044,Burgenland,Güssing,Güttenbach,Güttenbach,7536,47.159079,16.292587,266,AT-1,AU01,AT113,AT.BU.GS,49,Europe/Vienna,+01:00,+02:00
1005289883,Burgenland,Güssing,Hackerberg,Hackerberg,8292,47.19724,16.10546,328,AT-1,AU01,AT113,AT.BU.GS,66,Europe/Vienna,+01:00,+02:00
1005289027,Burgenland,Güssing,Heiligenbrunn,Deutsch Bieling,7522,47.011634,16.427704,237,AT-1,AU01,AT113,AT.BU.GS,50,Europe/Vienna,+01:00,+02:00
1005289029,Burgenland,Güssing,Heiligenbrunn,Hagensdorf im Burgenland,7522,47.015513,16.455645,202,AT-1,AU01,AT113,AT.BU.GS,51,Europe/Vienna,+01:00,+02:00
1005289030,Burgenland,Güssing,Heiligenbrunn,Heiligenbrunn,7522,47.027321,16.414854,230,AT-1,AU01,AT113,AT.BU.GS,52,Europe/Vienna,+01:00,+02:00
1005289032,Burgenland,Güssing,Heiligenbrunn,Luising,7522,47.01305,16.480054,198,AT-1,AU01,AT113,AT.BU.GS,53,Europe/Vienna,+01:00,+02:00
1005289033,Burgenland,Güssing,Heiligenbrunn,Reinersdorf,7522,47.011222,16.398438,242,AT-1,AU01,AT113,AT.BU.GS,54,Europe/Vienna,+01:00,+02:00
1005289063,Burgenland,Güssing,Heugraben,Heugraben,7551,47.116076,16.192634,254,AT-1,AU01,AT113,AT.BU.GS,29,Europe/Vienna,+01:00,+02:00
1005289049,Burgenland,Güssing,Inzenhof,Inzenhof,7540,47.019728,16.328188,304,AT-1,AU01,AT113,AT.BU.GS,61,Europe/Vienna,+01:00,+02:00
1005289050,Burgenland,Güssing,Kleinmürbisch,Kleinmürbisch,7540,47.023195,16.323561,302,AT-1,AU01,AT113,AT.BU.GS,62,Europe/Vienna,+01:00,+02:00
1005289060,Burgenland,Güssing,Kukmirn,Eisenhüttl,7543,47.101957,16.198758,241,AT-1,AU01,AT113,AT.BU.GS,55,Europe/Vienna,+01:00,+02:00
1005289061,Burgenland,Güssing,Kukmirn,Kukmirn,7543,47.064454,16.201899,278,AT-1,AU01,AT113,AT.BU.GS,56,Europe/Vienna,+01:00,+02:00
1005276057,Burgenland,Güssing,Kukmirn,Limbach,7543,47.060003,16.168266,281,AT-1,AU01,AT113,AT.BU.GS,57,Europe/Vienna,+01:00,+02:00
1005276059,Burgenland,Güssing,Kukmirn,Neusiedl,7543,47.081035,16.169459,277,AT-1,AU01,AT113,AT.BU.GS,58,Europe/Vienna,+01:00,+02:00
1005289051,Burgenland,Güssing,Moschendorf,Moschendorf,7540,47.055022,16.461698,205,AT-1,AU01,AT113,AT.BU.GS,76,Europe/Vienna,+01:00,+02:00
1005289045,Burgenland,Güssing,Neuberg im Burgenland,Neuberg im Burgenland,7537,47.167979,16.258053,293,AT-1,AU01,AT113,AT.BU.GS,59,Europe/Vienna,+01:00,+02:00
1005289052,Burgenland,Güssing,Neustift bei Güssing,Neustift bei Güssing,7540,47.039878,16.255164,297,AT-1,AU01,AT113,AT.BU.GS,63,Europe/Vienna,+01:00,+02:00
1005289040,Burgenland,Güssing,Olbendorf,Olbendorf,7534,47.19261,16.212775,314,AT-1,AU01,AT113,AT.BU.GS,65,Europe/Vienna,+01:00,+02:00
1005289039,Burgenland,Güssing,Ollersdorf im Burgenland,Ollersdorf im Burgenland,7533,47.18502,16.155771,270,AT-1,AU01,AT113,AT.BU.GS,67,Europe/Vienna,+01:00,+02:00
1012287175,Burgenland,Güssing,Ollersdorf im Burgenland,Ollersdorf im Burgenland,8292,47.18383,16.127562,351,AT-1,AU01,AT113,AT.BU.GS,10412,Europe/Vienna,+01:00,+02:00
1005276349,Burgenland,Güssing,Rauchwart,Rauchwart,7534,47.190225,16.211607,303,AT-1,AU01,AT113,AT.BU.GS,70,Europe/Vienna,+01:00,+02:00
1005275977,Burgenland,Güssing,Rauchwart,Rauchwart,7535,47.136462,16.232143,244,AT-1,AU01,AT113,AT.BU.GS,70,Europe/Vienna,+01:00,+02:00
1005289064,Burgenland,Güssing,Rohr im Burgenland,Rohr im Burgenland,7551,47.108745,16.159717,313,AT-1,AU01,AT113,AT.BU.GS,30,Europe/Vienna,+01:00,+02:00
1005289041,Burgenland,Güssing,Sankt Michael im Burgenland,Gamischdorf,7535,47.108141,16.257684,277,AT-1,AU01,AT113,AT.BU.GS,69,Europe/Vienna,+01:00,+02:00
1005289042,Burgenland,Güssing,Sankt Michael im Burgenland,Sankt Michael im Burgenland,7535,47.129931,16.272807,256,AT-1,AU01,AT113,AT.BU.GS,71,Europe/Vienna,+01:00,+02:00
1005289043,Burgenland,Güssing,Sankt Michael im Burgenland,Schallendorf im Burgenland,7535,47.121351,16.243057,271,AT-1,AU01,AT113,AT.BU.GS,72,Europe/Vienna,+01:00,+02:00
1005289065,Burgenland,Güssing,Stegersbach,Stegersbach,7551,47.159959,16.164333,255,AT-1,AU01,AT113,AT.BU.GS,73,Europe/Vienna,+01:00,+02:00
1005289066,Burgenland,Güssing,Stinatz,Stinatz,7552,47.203365,16.132903,342,AT-1,AU01,AT113,AT.BU.GS,74,Europe/Vienna,+01:00,+02:00
1005289028,Burgenland,Güssing,Strem,Deutsch Ehrensdorf,7522,47.092488,16.414548,253,AT-1,AU01,AT113,AT.BU.GS,75,Europe/Vienna,+01:00,+02:00
1005289034,Burgenland,Güssing,Strem,Steinfurt,7522,47.073139,16.417058,243,AT-1,AU01,AT113,AT.BU.GS,77,Europe/Vienna,+01:00,+02:00
1005289035,Burgenland,Güssing,Strem,Strem,7522,47.040595,16.40799,209,AT-1,AU01,AT113,AT.BU.GS,78,Europe/Vienna,+01:00,+02:00
1005289036,Burgenland,Güssing,Strem,Sumetendorf,7522,47.042477,16.391068,235,AT-1,AU01,AT113,AT.BU.GS,79,Europe/Vienna,+01:00,+02:00
1005276034,Burgenland,Güssing,Tobaj,Deutsch Tschantschendorf,7544,47.133367,16.303927,316,AT-1,AU01,AT113,AT.BU.GS,80,Europe/Vienna,+01:00,+02:00
1005276136,Burgenland,Güssing,Tobaj,Hasendorf im Burgenland,7544,47.078486,16.29628,262,AT-1,AU01,AT113,AT.BU.GS,81,Europe/Vienna,+01:00,+02:00
1005275962,Burgenland,Güssing,Tobaj,Kroatisch Tschantschendorf,7544,47.095378,16.287579,244,AT-1,AU01,AT113,AT.BU.GS,82,Europe/Vienna,+01:00,+02:00
1005276282,Burgenland,Güssing,Tobaj,Punitz,7544,47.11677,16.348262,251,AT-1,AU01,AT113,AT.BU.GS,83,Europe/Vienna,+01:00,+02:00
1005276250,Burgenland,Güssing,Tobaj,Tobaj,7544,47.090614,16.305871,225,AT-1,AU01,AT113,AT.BU.GS,84,Europe/Vienna,+01:00,+02:00
1005276305,Burgenland,Güssing,Tobaj,Tudersdorf,7544,47.100704,16.276675,271,AT-1,AU01,AT113,AT.BU.GS,85,Europe/Vienna,+01:00,+02:00
1005289055,Burgenland,Güssing,Tschanigraben,Tschanigraben,7540,47.004638,16.298767,335,AT-1,AU01,AT113,AT.BU.GS,64,Europe/Vienna,+01:00,+02:00
1005289887,Burgenland,Güssing,Wörterberg,Wörterberg,8293,47.224825,16.098465,406,AT-1,AU01,AT113,AT.BU.GS,68,Europe/Vienna,+01:00,+02:00
1005289075,Burgenland,Jennersdorf,Deutsch Kaltenbrunn,Deutsch Kaltenbrunn,7572,47.090394,16.117464,315,AT-1,AU01,AT113,AT.BU.JE,86,Europe/Vienna,+01:00,+02:00
1005289076,Burgenland,Jennersdorf,Deutsch Kaltenbrunn,Rohrbrunn,7572,47.121645,16.118276,303,AT-1,AU01,AT113,AT.BU.JE,87,Europe/Vienna,+01:00,+02:00
1005289069,Burgenland,Jennersdorf,Eltendorf,Eltendorf,7562,47.009312,16.203788,248,AT-1,AU01,AT113,AT.BU.JE,88,Europe/Vienna,+01:00,+02:00
1005289070,Burgenland,Jennersdorf,Eltendorf,Zahling,7562,47.0317,16.212144,295,AT-1,AU01,AT113,AT.BU.JE,90,Europe/Vienna,+01:00,+02:00
1005289067,Burgenland,Jennersdorf,Heiligenkreuz im Lafnitztal,Heiligenkreuz im Lafnitztal,7561,46.992309,16.261573,247,AT-1,AU01,AT113,AT.BU.JE,91,Europe/Vienna,+01:00,+02:00
1005289068,Burgenland,Jennersdorf,Heiligenkreuz im Lafnitztal,Poppendorf im Burgenland,7561,47.003975,16.232649,258,AT-1,AU01,AT113,AT.BU.JE,92,Europe/Vienna,+01:00,+02:00
1005290196,Burgenland,Jennersdorf,Jennersdorf,Grieselstein,8380,46.963627,16.11611,301,AT-1,AU01,AT113,AT.BU.JE,93,Europe/Vienna,+01:00,+02:00
1005289870,Burgenland,Jennersdorf,Jennersdorf,Henndorf im Burgenland,8282,46.982517,16.122843,333,AT-1,AU01,AT113,AT.BU.JE,94,Europe/Vienna,+01:00,+02:00
1005290197,Burgenland,Jennersdorf,Jennersdorf,Henndorf im Burgenland,8380,46.979073,16.14076,336,AT-1,AU01,AT113,AT.BU.JE,94,Europe/Vienna,+01:00,+02:00
1005290198,Burgenland,Jennersdorf,Jennersdorf,Jennersdorf,8380,46.941817,16.139346,242,AT-1,AU01,AT113,AT.BU.JE,95,Europe/Vienna,+01:00,+02:00
1005290200,Burgenland,Jennersdorf,Jennersdorf,Rax,8380,46.947464,16.15853,267,AT-1,AU01,AT113,AT.BU.JE,96,Europe/Vienna,+01:00,+02:00
1005289071,Burgenland,Jennersdorf,Königsdorf,Königsdorf,7563,47.016134,16.174816,250,AT-1,AU01,AT113,AT.BU.JE,89,Europe/Vienna,+01:00,+02:00
1005290215,Burgenland,Jennersdorf,Minihof-Liebau,Minihof-Liebau,8384,46.881759,16.067407,281,AT-1,AU01,AT113,AT.BU.JE,97,Europe/Vienna,+01:00,+02:00
1005290217,Burgenland,Jennersdorf,Minihof-Liebau,Tauka,8384,46.862377,16.061423,333,AT-1,AU01,AT113,AT.BU.JE,98,Europe/Vienna,+01:00,+02:00
1005290218,Burgenland,Jennersdorf,Minihof-Liebau,Windisch-Minihof,8384,46.8869,16.098323,312,AT-1,AU01,AT113,AT.BU.JE,99,Europe/Vienna,+01:00,+02:00
